date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:31:10	68088/68088	---M--	200	added ('OK')	image/jpeg	etag:%22d0004c-109f8-589a0d5484bf8%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/lifestyle/3-medium.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/lifestyle/3-medium.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-about-me.html)
15:31:11	92481/92481	---M--	200	added ('OK')	image/jpeg	etag:%22d00046-16941-589a0d5506e00%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/lifestyle/2-medium.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/lifestyle/2-medium.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-about-me.html)
15:31:12	172280/172280	---M--	200	added ('OK')	image/jpeg	etag:%22d00034-2a0f8-589a0d4f15a28%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/landscape/2-medium.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/landscape/2-medium.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-about-me.html)
15:31:12	85243/85243	---M--	200	added ('OK')	image/jpeg	etag:%22d00031-14cfb-589a0d4e67ce8%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/landscape/1-medium.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/landscape/1-medium.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-about-me.html)
15:31:12	84906/84906	---M--	200	added ('OK')	image/jpeg	etag:%22d0005c-14baa-589a0d5bf3948%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/travel/3-medium.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/travel/3-medium.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-about-me.html)
15:31:12	143948/143948	---M--	200	added ('OK')	image/jpeg	etag:%22d00039-2324c-589a0d51e32a0%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/landscape/3-medium.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/gallery/landscape/3-medium.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-about-me.html)
15:31:13	29253/29253	---M--	200	added ('OK')	image/jpeg	etag:%22ce11c3-7245-589a0c6704b30%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/about/photographer-2.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/about/photographer-2.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-about-us.html)
15:31:14	30218/30218	---M--	200	added ('OK')	image/jpeg	etag:%22ce11c4-760a-589a0c676bf88%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/about/photographer-3.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/about/photographer-3.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-about-us.html)
15:31:14	32124/32124	---M--	200	added ('OK')	image/jpeg	etag:%22ce11c1-7d7c-589a0c6678130%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/about/photographer-1.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/about/photographer-1.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-about-us.html)
15:31:14	48134/48134	---M--	200	added ('OK')	image/jpeg	etag:%22ce11c5-bc06-589a0c67ad280%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/about/photographer-4.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/about/photographer-4.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-about-us.html)
15:31:14	118240/118240	---M--	200	added ('OK')	image/jpeg	etag:%22ce11bc-1cde0-589a0c65b1d50%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/about/about-us-slide-1.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/about/about-us-slide-1.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-about-us.html)
15:31:15	162680/162680	---M--	200	added ('OK')	image/jpeg	etag:%22ce11bb-27b78-589a0c65c55d0%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/about/about-us-slide-2.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/about/about-us-slide-2.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-about-us.html)
15:31:15	51533/51533	---M--	200	added ('OK')	image/jpeg	etag:%22ce11c7-c94d-589a0c6787120%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/about/photographer-6.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/about/photographer-6.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-about-us.html)
15:31:15	5774/5774	---M--	200	added ('OK')	image/jpeg	etag:%22ce11bd-168e-589a0c65a2f08%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/about/our-services-1.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/about/our-services-1.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-about-us.html)
15:31:15	40164/40164	---M--	200	added ('OK')	image/jpeg	etag:%22ce11c6-9ce4-589a0c6731dd8%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/about/photographer-5.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/about/photographer-5.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-about-us.html)
15:31:15	5023/5023	---M--	200	added ('OK')	image/jpeg	etag:%22ce11bf-139f-589a0c65f0938%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/about/our-services-2.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/about/our-services-2.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-about-us.html)
15:31:16	7106/7106	---M--	200	added ('OK')	image/jpeg	etag:%22ce11c2-1bc2-589a0c6627438%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/about/our-services-3.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/about/our-services-3.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-about-us.html)
